0	x o ŋ͡m 1
mom	m ɔ m 1
móm	m ɔ m 5
mòm	m ɔ m 2
môm	m o m 1
mõm	m ɔ m 3
mồm	m o m 2
mỏm	m ɔ m 4
mơm	m ɤ m 1
mớm	m ɤ m 5
mờm	m ɤ m 2
mon	m ɔ n 1
món	m ɔ n 5
mòn	m ɔ n 2
môn	m o n 1
mồn	m o n 2
mơn	m ɤ n 1
mọn	m ɔ n 6
mởn	m ɤ n 4
mong	m ɔ ŋ͡m 1
móng	m ɔ ŋ͡m 5
mòng	m ɔ ŋ͡m 2
mông	m o ŋ͡m 1
mống	m o ŋ͡m 5
mồng	m o ŋ͡m 2
mỏng	m ɔ ŋ͡m 4
mổng	m o ŋ͡m 4
mọng	m ɔ ŋ͡m 6
mộng	m o ŋ͡m 6
moóc	m ɔ k͡p 5
móp	m ɔ p 5
mớp	m ɤ p 5
mót	m ɔ t 5
môt	m o t 1
mốt	m o t 5
mọt	m ɔ t 6
một	m o t 6
mu	m u 1
mú	m u 5
mù	m u 2
mũ	m u 3
mủ	m u 4
mụ	m u 6
mua	m uə 1
muá	mw ʷa 5
múa	m uə 5
mùa	m uə 2
mưa	m ɯə 1
mứa	m ɯə 5
mửa	m ɯə 4
mựa	m ɯə 6
múc	m u k͡p 5
mục	m u k͡p 6
mức	m ɯ k 5
mực	m ɯ k 6
mui	m u j 1
múi	m u j 5
mùi	m u j 2
mũi	m u j 3
mủi	m u j 4
mụi	m u j 6
mum	m u m 1
múm	m u m 5
mũm	m u m 3
mủm	m u m 4
mun	m u n 1
mún	m u n 5
mùn	m u n 2
mủn	m u n 4
mụn	m u n 6
mung	m u ŋ͡m 1
mùng	m u ŋ͡m 2
mủng	m u ŋ͡m 4
mưng	m ɯ ŋ 1
mừng	m ɯ ŋ 2
muôi	m uə j 1
muối	m uə j 5
muồi	m uə j 2
muỗi	m uə j 3
muội	m uə j 6
mươi	m ɯə j 1
mười	m ɯə j 2
muỗm	m uə m 3
muôn	m uə n 1
muốn	m uə n 5
muộn	m uə n 6
mướn	m ɯə n 5
mượn	m ɯə n 6
muông	m uə ŋ 1
muống	m uə ŋ 5
muồng	m uə ŋ 2
muỗng	m uə ŋ 3
mương	m ɯə ŋ 1
mường	m ɯə ŋ 2
mướp	m ɯə p 5
muốt	m uə t 5
mướt	m ɯə t 5
mượt	m ɯə t 6
múp	m u p 5
mụp	m u p 6
mút	m u t 5
mụt	m u t 6
mứt	m ɯ t 5
mưu	m ɯ w 1
mứu	m ɯ w 5
my	m i 1
mỹ	m i 3
n	ɛ n ' 5
na	n a 1
ná	n a 5
nà	n a 2
nã	n a 3
nả	n a 4
nạ	n a 6
nác	n a k 5
nấc	n ɤ̆ k 5
nắc	n ă k 5
nạc	n a k 6
nặc	n ă k 6
nách	n a tʃ 5
nai	n a j 1
nái	n a j 5
nài	n a j 2
nải	n a j 4
nại	n a j 6
nam	n a m 1
nám	n a m 5
năm	n ă m 1
nấm	n ɤ̆ m 5
nầm	n ɤ̆ m 2
nắm	n ă m 5
nằm	n ă m 2
nạm	n a m 6
nậm	n ɤ̆ m 6
nan	n a n 1
nán	n a n 5
nàn	n a n 2
nân	n ɤ̆ n 1
năn	n ă n 1
nần	n ɤ̆ n 2
nắn	n ă n 5
nằn	n ă n 2
nản	n a n 4
nạn	n a n 6
nặn	n ă n 6
nang	n a ŋ 1
náng	n a ŋ 5
nàng	n a ŋ 2
nâng	n ɤ̆ ŋ 1
năng	n ă ŋ 1
nấng	n ɤ̆ ŋ 5
nắng	n ă ŋ 5
nằng	n ă ŋ 2
nẫng	n ɤ̆ ŋ 3
nẵng	n ă ŋ 3
nạng	n a ŋ 6
nậng	n ɤ̆ ŋ 6
nặng	n ă ŋ 6
nanh	n ɛ ɲ 1
nánh	n ɛ ɲ 5
nành	n ɛ ɲ 2
nạnh	n ɛ ɲ 6
nao	n a w 1
náo	n a w 5
nào	n a w 2
não	n a w 3
nạo	n a w 6
nấp	n ɤ̆ p 5
nắp	n ă p 5
nạp	n a p 6
nập	n ɤ̆ p 6
nát	n a t 5
nạt	n a t 6
nau	n ă w 1
náu	n ă w 5
nâu	n ɤ̆ w 1
nấu	n ɤ̆ w 5
nẫu	n ɤ̆ w 3
nậu	n ɤ̆ w 6
nay	n ă j 1
náy	n ă j 5
này	n ă j 2
nây	n ɤ̆ j 1
nãy	n ă j 3
nấy	n ɤ̆ j 5
nầy	n ɤ̆ j 2
nảy	n ă j 4
nẩy	n ɤ̆ j 4
nạy	n ă j 6
nậy	n ɤ̆ j 6
ne	n ɛ 1
né	n ɛ 5
nè	n ɛ 2
nê	n e 1
nề	n e 2
nẻ	n ɛ 4
nể	n e 4
nệ	n e 6
needly	n e e d l '
nem	n ɛ m 1
ném	n ɛ m 5
nêm	n e m 1
nếm	n e m 5
nệm	n e m 6
nen	n ɛ n 1
nén	n ɛ n 5
nên	n e n 1
nến	n e n 5
nền	n e n 2
nện	n e n 6
neo	n eo 1
néo	n eo 5
nèo	n eo 2
nẻo	n eo 4
nép	n ɛ p 5
nếp	n e p 5
nẹp	n ɛ p 6
nét	n ɛ t 5
nết	n e t 5
nẹt	n ɛ t 6
nêu	n ɛu 1
nếu	n ɛu 5
ng	ɛ ŋ ' 5
nga	ŋ a 1
ngà	ŋ a 2
ngã	ŋ a 3
ngả	ŋ a 4
ngác	ŋ a k 5
ngấc	ŋ ɤ̆ k 5
ngắc	ŋ ă k 5
ngạc	ŋ a k 6
ngách	ŋ a tʃ 5
ngạch	ŋ a tʃ 6
ngai	ŋ a j 1
ngái	ŋ a j 5
ngài	ŋ a j 2
ngãi	ŋ a j 3
ngải	ŋ a j 4
ngại	ŋ a j 6
ngam	ŋ a m 1
ngám	ŋ a m 5
ngàm	ŋ a m 2
ngâm	ŋ ɤ̆ m 1
ngăm	ŋ ă m 1
ngấm	ŋ ɤ̆ m 5
ngầm	ŋ ɤ̆ m 2
ngắm	ŋ ă m 5
ngẫm	ŋ ɤ̆ m 3
ngẩm	ŋ ɤ̆ m 4
ngậm	ŋ ɤ̆ m 6
ngan	ŋ a n 1
ngán	ŋ a n 5
ngàn	ŋ a n 2
ngân	ŋ ɤ̆ n 1
ngăn	ŋ ă n 1
ngấn	ŋ ɤ̆ n 5
ngần	ŋ ɤ̆ n 2
ngắn	ŋ ă n 5
ngằn	ŋ ă n 2
ngẫn	ŋ ɤ̆ n 3
ngẩn	ŋ ɤ̆ n 4
ngạn	ŋ a n 6
ngận	ŋ ɤ̆ n 6
ngang	ŋ a ŋ 1
ngáng	ŋ a ŋ 5
ngàng	ŋ a ŋ 2
ngãng	ŋ a ŋ 3
ngẫng	ŋ ɤ̆ ŋ 3
ngẵng	ŋ ă ŋ 3
ngẩng	ŋ ɤ̆ ŋ 4
ngẳng	ŋ ă ŋ 4
ngạng	ŋ a ŋ 6
ngành	ŋ ɛ ɲ 2
ngảnh	ŋ ɛ ɲ 4
ngạnh	ŋ ɛ ɲ 6
ngao	ŋ a w 1
ngáo	ŋ a w 5
ngào	ŋ a w 2
ngão	ŋ a w 3
ngạo	ŋ a w 6
ngáp	ŋ a p 5
ngấp	ŋ ɤ̆ p 5
ngập	ŋ ɤ̆ p 6
ngát	ŋ a t 5
ngất	ŋ ɤ̆ t 5
ngắt	ŋ ă t 5
ngạt	ŋ a t 6
ngật	ŋ ɤ̆ t 6
ngặt	ŋ ă t 6
ngau	ŋ ă w 1
ngáu	ŋ ă w 5
ngàu	ŋ ă w 2
ngâu	ŋ ɤ̆ w 1
ngấu	ŋ ɤ̆ w 5
ngầu	ŋ ɤ̆ w 2
ngẫu	ŋ ɤ̆ w 3
ngậu	ŋ ɤ̆ w 6
ngay	ŋ ă j 1
ngáy	ŋ ă j 5
ngày	ŋ ă j 2
ngây	ŋ ɤ̆ j 1
ngấy	ŋ ɤ̆ j 5
ngầy	ŋ ɤ̆ j 2
ngậy	ŋ ɤ̆ j 6
ngèo	ŋ eo 2
nghe	ŋ ɛ 1
nghé	ŋ ɛ 5
nghè	ŋ ɛ 2
nghê	ŋ e 1
nghề	ŋ e 2
nghễ	ŋ e 3
nghể	ŋ e 4
nghệ	ŋ e 6
nghếch	ŋ e tʃ 5
nghệch	ŋ e tʃ 6
nghen	ŋ ɛ n 1
nghén	ŋ ɛ n 5
nghèn	ŋ ɛ n 2
nghẽn	ŋ ɛ n 3
nghển	ŋ e n 4
nghẹn	ŋ ɛ n 6
nghện	ŋ e n 6
nghênh	ŋ e ɲ 1
nghễnh	ŋ e ɲ 3
nghểnh	ŋ e ɲ 4
nghèo	ŋ eo 2
nghẽo	ŋ eo 3
nghẻo	ŋ eo 4
nghẹo	ŋ eo 6
nghét	ŋ ɛ t 5
nghẹt	ŋ ɛ t 6
nghêu	ŋ ɛu 1
nghều	ŋ ɛu 2
nghễu	ŋ ɛu 3
nghểu	ŋ ɛu 4
nghi	ŋ i 1
nghí	ŋ i 5
nghì	ŋ i 2
nghĩ	ŋ i 3
nghỉ	ŋ i 4
nghị	ŋ i 6
nghiã	ŋ iə 3
nghĩa	ŋ iə 3
nghịch	ŋ i tʃ 6
nghiêm	ŋ iə m 1
nghiễm	ŋ iə m 3
nghiệm	ŋ iə m 6
nghiên	ŋ iə n 1
nghiến	ŋ iə n 5
nghiền	ŋ iə n 2
nghiện	ŋ iə n 6
nghiêng	ŋ iə ŋ 1
nghiệp	ŋ iə p 6
nghiệt	ŋ iə t 6
nghiêu	ŋ iə w 1
nghìm	ŋ i m 2
nghỉm	ŋ i m 4
nghìn	ŋ i n 2
nghỉn	ŋ i n 4
nghinh	ŋ i ɲ 1
nghĩnh	ŋ i ɲ 3
nghỉnh	ŋ i ɲ 4
nghít	ŋ i t 5
nghịt	ŋ i t 6
nghiu	ŋ i w 1
nghỉu	ŋ i w 4
nghịu	ŋ i w 6
ngía	ŋ iə 5
ngó	ŋ ɔ 5
ngò	ŋ ɔ 2
ngô	ŋ o 1
ngõ	ŋ ɔ 3
ngố	ŋ o 5
ngồ	ŋ o 2
ngỗ	ŋ o 3
ngỏ	ŋ ɔ 4
ngơ	ŋ ɤ 1
ngổ	ŋ o 4
ngọ	ŋ ɔ 6
ngớ	ŋ ɤ 5
ngờ	ŋ ɤ 2
ngỡ	ŋ ɤ 3
ngộ	ŋ o 6
ngợ	ŋ ɤ 6
ngoa	ŋw ʷa 1
ngoã	ŋw ʷa 3
ngoác	ŋw ʷa k 5
ngoắc	ŋw ʷă k 5
ngoặc	ŋw ʷă k 6
ngoách	ŋw ʷa tʃ 5
ngoai	ŋw a j 1
ngoái	ŋw a j 5
ngoài	ŋw a j 2
ngoải	ŋw a j 4
ngoại	ŋw a j 6
ngoàm	ŋw ʷa m 2
ngoạm	ŋw ʷa m 6
ngoan	ŋw ʷa n 1
ngoãn	ŋw ʷa n 3
ngoằn	ŋw ʷă n 2
ngoạn	ŋw ʷa n 6
ngoang	ŋw ʷa ŋ 1
ngoằng	ŋw ʷă ŋ 2
ngoẵng	ŋw ʷă ŋ 3
ngoảng	ŋw ʷa ŋ 4
ngoảnh	ŋw ʷa ɲ 4
ngoao	ŋw a w 1
ngoáo	ŋw a w 5
ngoắt	ŋw ʷă t 5
ngoặt	ŋw ʷă t 6
ngoay	ŋw ă j 1
ngoáy	ŋw ă j 5
ngoảy	ŋw ă j 4
ngoạy	ŋw ă j 6
ngóc	ŋ ɔ k͡p 5
ngốc	ŋ o k͡p 5
ngọc	ŋ ɔ k͡p 6
ngộc	ŋ o k͡p 6
ngoe	ŋw ʷɛ 1
ngóe	ŋw ʷɛ 5
ngoẻn	ŋw ʷɛ n 4
ngoéo	ŋw e w 5
ngoèo	ŋw e w 2
ngoẹo	ŋw e w 6
ngóeo	ŋw e w 5
ngoét	ŋw ʷɛ t 5
ngoi	ŋ ɔ j 1
ngói	ŋ ɔ j 5
ngòi	ŋ ɔ j 2
ngôi	ŋ o j 1
ngõi	ŋ ɔ j 3
ngồi	ŋ o j 2
ngơi	ŋ ɤ j 1
ngời	ŋ ɤ j 2
ngợi	ŋ ɤ j 6
ngóm	ŋ ɔ m 5
ngòm	ŋ ɔ m 2
ngồm	ŋ o m 2
ngỏm	ŋ ɔ m 4
ngơm	ŋ ɤ m 1
ngổm	ŋ o m 4
ngờm	ŋ ɤ m 2
ngợm	ŋ ɤ m 6
ngon	ŋ ɔ n 1
ngón	ŋ ɔ n 5
ngòn	ŋ ɔ n 2
ngôn	ŋ o n 1
ngốn	ŋ o n 5
ngồn	ŋ o n 2
ngỏn	ŋ ɔ n 4
ngơn	ŋ ɤ n 1
ngổn	ŋ o n 4
ngọn	ŋ ɔ n 6
ngớn	ŋ ɤ n 5
ngộn	ŋ o n 6
ngong	ŋ ɔ ŋ͡m 1
ngóng	ŋ ɔ ŋ͡m 5
ngòng	ŋ ɔ ŋ͡m 2
ngông	ŋ o ŋ͡m 1
ngõng	ŋ ɔ ŋ͡m 3
ngồng	ŋ o ŋ͡m 2
ngỗng	ŋ o ŋ͡m 3
ngỏng	ŋ ɔ ŋ͡m 4
ngọng	ŋ ɔ ŋ͡m 6
ngóp	ŋ ɔ p 5
ngớp	ŋ ɤ p 5
ngộp	ŋ o p 6
ngợp	ŋ ɤ p 6
ngót	ŋ ɔ t 5
ngốt	ŋ o t 5
ngọt	ŋ ɔ t 6
ngớt	ŋ ɤ t 5
ngột	ŋ o t 6
ngu	ŋ u 1
ngú	ŋ u 5
ngù	ŋ u 2
ngũ	ŋ u 3
ngủ	ŋ u 4
ngư	ŋ ɯ 1
ngụ	ŋ u 6
ngứ	ŋ ɯ 5
ngừ	ŋ ɯ 2
ngữ	ŋ ɯ 3
ngự	ŋ ɯ 6
ngưa	ŋ ɯə 1
ngụa	ŋ uə 6
ngứa	ŋ ɯə 5
ngừa	ŋ ɯə 2
ngửa	ŋ ɯə 4
ngựa	ŋ ɯə 6
nguẩy	ŋw ɤ̆ j 4
ngúc	ŋ u k͡p 5
ngục	ŋ u k͡p 6
ngực	ŋ ɯ k 6
ngùi	ŋ u j 2
ngủi	ŋ u j 4
ngửi	ŋ ɯ j 4
ngủm	ŋ u m 4
ngụm	ŋ u m 6
ngùn	ŋ u n 2
ngủn	ŋ u n 4
ngúng	ŋ u ŋ͡m 5
ngùng	ŋ u ŋ͡m 2
ngưng	ŋ ɯ ŋ 1
ngừng	ŋ ɯ ŋ 2
ngửng	ŋ ɯ ŋ 4
ngước	ŋ ɯə k 5
ngược	ŋ ɯə k 6
nguôi	ŋ uə j 1
nguồi	ŋ uə j 2
nguội	ŋ uə j 6
ngươi	ŋ ɯə j 1
người	ŋ ɯə j 2
nguồn	ŋ uə n 2
ngường	ŋ ɯə ŋ 2
ngưỡng	ŋ ɯə ŋ 3
ngưởng	ŋ ɯə ŋ 4
ngượng	ŋ ɯə ŋ 6
ngụp	ŋ u p 6
ngút	ŋ u t 5
ngụt	ŋ u t 6
ngứt	ŋ ɯ t 5
ngưu	ŋ ɯ w 1
nguy	ŋw ʷi 1
nguỵ	ŋ u j 6
ngụy	ŋ u j 6
nguyên	ŋw ʷiə n 1
nguyền	ŋw ʷiə n 2
nguyễn	ŋw ʷiə n 3
nguyện	ŋw ʷiə n 6
nguyệt	ŋw ʷiə t 6
nguýt	ŋw ʷi t 5
nguỷu	ŋw ʷiu 4
nha	ɲ a 1
nhá	ɲ a 5
nhà	ɲ a 2
nhã	ɲ a 3
nhả	ɲ a 4
nhác	ɲ a k 5
nhấc	ɲ ɤ̆ k 5
nhắc	ɲ ă k 5
nhạc	ɲ a k 6
nhách	ɲ a tʃ 5
nhai	ɲ a j 1
nhái	ɲ a j 5
nhài	ɲ a j 2
nhãi	ɲ a j 3
nhải	ɲ a j 4
nhại	ɲ a j 6
nham	ɲ a m 1
nhám	ɲ a m 5
nhàm	ɲ a m 2
nhâm	ɲ ɤ̆ m 1
nhăm	ɲ ă m 1
nhấm	ɲ ɤ̆ m 5
nhầm	ɲ ɤ̆ m 2
nhắm	ɲ ă m 5
nhằm	ɲ ă m 2
nhảm	ɲ a m 4
nhẩm	ɲ ɤ̆ m 4
nhậm	ɲ ɤ̆ m 6
nhặm	ɲ ă m 6
nhan	ɲ a n 1
nhàn	ɲ a n 2
nhân	ɲ ɤ̆ n 1
nhăn	ɲ ă n 1
nhãn	ɲ a n 3
nhấn	ɲ ɤ̆ n 5
nhần	ɲ ɤ̆ n 2
nhắn	ɲ ă n 5
nhằn	ɲ ă n 2
nhẫn	ɲ ɤ̆ n 3
nhẵn	ɲ ă n 3
nhản	ɲ a n 4
nhẩn	ɲ ɤ̆ n 4
nhẳn	ɲ ă n 4
nhạn	ɲ a n 6
nhận	ɲ ɤ̆ n 6
nhặn	ɲ ă n 6
nhang	ɲ a ŋ 1
nháng	ɲ a ŋ 5
nhàng	ɲ a ŋ 2
nhâng	ɲ ɤ̆ ŋ 1
nhăng	ɲ ă ŋ 1
nhãng	ɲ a ŋ 3
nhắng	ɲ ă ŋ 5
nhằng	ɲ ă ŋ 2
nhẵng	ɲ ă ŋ 3
nhẳng	ɲ ă ŋ 4
nhặng	ɲ ă ŋ 6
nhanh	ɲ ɛ ɲ 1
nhánh	ɲ ɛ ɲ 5
nhành	ɲ ɛ ɲ 2
nhảnh	ɲ ɛ ɲ 4
nhạnh	ɲ ɛ ɲ 6
nhao	ɲ a w 1
nháo	ɲ a w 5
nhào	ɲ a w 2
nhão	ɲ a w 3
nhạo	ɲ a w 6
nháp	ɲ a p 5
nhấp	ɲ ɤ̆ p 5
nhắp	ɲ ă p 5
nhạp	ɲ a p 6
nhập	ɲ ɤ̆ p 6
nhát	ɲ a t 5
nhất	ɲ ɤ̆ t 5
nhắt	ɲ ă t 5
nhạt	ɲ a t 6
nhật	ɲ ɤ̆ t 6
nhặt	ɲ ă t 6
nhau	ɲ ă w 1
nhàu	ɲ ă w 2
nhâu	ɲ ɤ̆ w 1
nhảu	ɲ ă w 4
nhậu	ɲ ɤ̆ w 6
nhay	ɲ ă j 1
nháy	ɲ ă j 5
nhày	ɲ ă j 2
nhây	ɲ ɤ̆ j 1
nhầy	ɲ ɤ̆ j 2
nhẫy	ɲ ɤ̆ j 3
nhảy	ɲ ă j 4
nhẩy	ɲ ɤ̆ j 4
nhạy	ɲ ă j 6
nhậy	ɲ ɤ̆ j 6
nhe	ɲ ɛ 1
nhé	ɲ ɛ 5
nhè	ɲ ɛ 2
nhẽ	ɲ ɛ 3
nhẻ	ɲ ɛ 4
nhể	ɲ e 4
nhẹ	ɲ ɛ 6
nhếch	ɲ e tʃ 5
nhem	ɲ ɛ m 1
nhèm	ɲ ɛ m 2
nhẻm	ɲ ɛ m 4
nhẹm	ɲ ɛ m 6
nhen	ɲ ɛ n 1
nhén	ɲ ɛ n 5
nhẹn	ɲ ɛ n 6
nhện	ɲ e n 6
nhênh	ɲ e ɲ 1
nheo	ɲ eo 1
nhéo	ɲ eo 5
nhèo	ɲ eo 2
nhẽo	ɲ eo 3
nhẻo	ɲ eo 4
nhẹo	ɲ eo 6
nhép	ɲ ɛ p 5
nhẹp	ɲ ɛ p 6
nhét	ɲ ɛ t 5
nhẹt	ɲ ɛ t 6
nhếu	ɲ ɛu 5
nhệu	ɲ ɛu 6
nhi	ɲ i 1
nhí	ɲ i 5
nhì	ɲ i 2
nhĩ	ɲ i 3
nhỉ	ɲ i 4
nhị	ɲ i 6
nhía	ɲ iə 5
nhích	ɲ i tʃ 5
nhiếc	ɲ iə k 5
nhiễm	ɲ iə m 3
nhiệm	ɲ iə m 6
nhiên	ɲ iə n 1
nhiễn	ɲ iə n 3
nhiếp	ɲ iə p 5
nhiêt	ɲ iə t 1
nhiệt	ɲ iə t 6
nhiêu	ɲ iə w 1
nhiều	ɲ iə w 2
nhiễu	ɲ iə w 3
nhiểu	ɲ iə w 4
nhím	ɲ i m 5
nhín	ɲ i n 5
nhìn	ɲ i n 2
nhịn	ɲ i n 6
nhinh	ɲ i ɲ 1
nhỉnh	ɲ i ɲ 4
nhíp	ɲ i p 5
nhịp	ɲ i p 6
nhít	ɲ i t 5
nhịt	ɲ i t 6
nhiu	ɲ i w 1
nhíu	ɲ i w 5
nhìu	ɲ i w 2
nhịu	ɲ i w 6
nho	ɲ ɔ 1
nhó	ɲ ɔ 5
nhò	ɲ ɔ 2
nhô	ɲ o 1
nhõ	ɲ ɔ 3
nhố	ɲ o 5
nhỏ	ɲ ɔ 4
nhơ	ɲ ɤ 1
nhổ	ɲ o 4
nhọ	ɲ ɔ 6
nhớ	ɲ ɤ 5
nhờ	ɲ ɤ 2
nhỡ	ɲ ɤ 3
nhở	ɲ ɤ 4
nhợ	ɲ ɤ 6
nhoà	ɲw ʷa 2
nhóa	ɲw ʷa 5
nhòa	ɲw ʷa 2
nhoai	ɲw a j 1
nhoài	ɲw a j 2
nhoàm	ɲw ʷa m 2
nhoang	ɲw ʷa ŋ 1
nhoáng	ɲw ʷa ŋ 5
nhoạng	ɲw ʷa ŋ 6
nhoay	ɲw ă j 1
nhoáy	ɲw ă j 5
nhóc	ɲ ɔ k͡p 5
nhốc	ɲ o k͡p 5
nhọc	ɲ ɔ k͡p 6
nhoe	ɲw ʷɛ 1
nhoe'	ɲw ʷɛ 1
nhoè	ɲw ʷɛ 2
nhóe	ɲw ʷɛ 5
nhòe	ɲw ʷɛ 2
nhoen	ɲw ʷɛ n 1
nhoèn	ɲw ʷɛ n 2
nhoẻn	ɲw ʷɛ n 4
nhoét	ɲw ʷɛ t 5
nhoẹt	ɲw ʷɛ t 6
nhoi	ɲ ɔ j 1
nhói	ɲ ɔ j 5
nhôi	ɲ o j 1
nhối	ɲ o j 5
nhồi	ɲ o j 2
nhơi	ɲ ɤ j 1
nhời	ɲ ɤ j 2
nhội	ɲ o j 6
nhởi	ɲ ɤ j 4
nhom	ɲ ɔ m 1
nhóm	ɲ ɔ m 5
nhòm	ɲ ɔ m 2
nhôm	ɲ o m 1
nhõm	ɲ ɔ m 3
nhồm	ɲ o m 2
nhỏm	ɲ ɔ m 4
nhơm	ɲ ɤ m 1
nhổm	ɲ o m 4
nhớm	ɲ ɤ m 5
nhon	ɲ ɔ n 1
nhón	ɲ ɔ n 5
nhôn	ɲ o n 1
nhõn	ɲ ɔ n 3
nhốn	ɲ o n 5
nhồn	ɲ o n 2
nhỏn	ɲ ɔ n 4
nhơn	ɲ ɤ n 1
nhổn	ɲ o n 4
nhọn	ɲ ɔ n 6
nhớn	ɲ ɤ n 5
nhờn	ɲ ɤ n 2
nhỡn	ɲ ɤ n 3
nhộn	ɲ o n 6
nhởn	ɲ ɤ n 4
nhong	ɲ ɔ ŋ͡m 1
nhóng	ɲ ɔ ŋ͡m 5
nhòng	ɲ ɔ ŋ͡m 2
nhông	ɲ o ŋ͡m 1
nhõng	ɲ ɔ ŋ͡m 3
nhồng	ɲ o ŋ͡m 2
nhỏng	ɲ ɔ ŋ͡m 4
nhộng	ɲ o ŋ͡m 6
nhóp	ɲ ɔ p 5
nhớp	ɲ ɤ p 5
nhót	ɲ ɔ t 5
nhốt	ɲ o t 5
nhọt	ɲ ɔ t 6
nhớt	ɲ ɤ t 5
nhột	ɲ o t 6
nhợt	ɲ ɤ t 6
nhu	ɲ u 1
nhú	ɲ u 5
nhù	ɲ u 2
nhũ	ɲ u 3
nhủ	ɲ u 4
như	ɲ ɯ 1
nhụ	ɲ u 6
nhứ	ɲ ɯ 5
nhừ	ɲ ɯ 2
nhử	ɲ ɯ 4
nhự	ɲ ɯ 6
nhúa	ɲ uə 5
nhụa	ɲ uə 6
nhựa	ɲ ɯə 6
nhuần	ɲw ʷɤ̆ n 2
nhuận	ɲw ʷɤ̆ n 6
nhúc	ɲ u k͡p 5
nhục	ɲ u k͡p 6
nhức	ɲ ɯ k 5
nhuế	ɲw ʷe 5
nhuệ	ɲw ʷe 6
nhui	ɲ u j 1
nhúi	ɲ u j 5
nhùi	ɲ u j 2
nhủi	ɲ u j 4
nhụi	ɲ u j 6
nhum	ɲ u m 1
nhúm	ɲ u m 5
nhún	ɲ u n 5
nhùn	ɲ u n 2
nhũn	ɲ u n 3
nhủn	ɲ u n 4
nhung	ɲ u ŋ͡m 1
nhúng	ɲ u ŋ͡m 5
nhùng	ɲ u ŋ͡m 2
nhũng	ɲ u ŋ͡m 3
nhủng	ɲ u ŋ͡m 4
nhưng	ɲ ɯ ŋ 1
nhụng	ɲ u ŋ͡m 6
những	ɲ ɯ ŋ 3
nhửng	ɲ ɯ ŋ 4
nhuốc	ɲ uə k 5
nhược	ɲ ɯə k 6
nhuôm	ɲ uə m 1
nhuốm	ɲ uə m 5
nhuộm	ɲ uə m 6
nhương	ɲ ɯə ŋ 1
nhướng	ɲ ɯə ŋ 5
nhường	ɲ ɯə ŋ 2
nhưỡng	ɲ ɯə ŋ 3
nhượng	ɲ ɯə ŋ 6
nhút	ɲ u t 5
nhụt	ɲ u t 6
nhứt	ɲ ɯ t 5
nhựt	ɲ ɯ t 6
nhụy	ɲ u j 6
nhuyễn	ɲw ʷiə n 3
ni	n i 1
ní	n i 5
nì	n i 2
nỉ	n i 4
nia	n iə 1
nĩa	n iə 3
ních	n i tʃ 5
nịch	n i tʃ 6
niêm	n iə m 1
niềm	n iə m 2
niệm	n iə m 6
niên	n iə n 1
niền	n iə n 2
niềng	n iə ŋ 2
niễng	n iə ŋ 3
niết	n iə t 5
niệt	n iə t 6
niêu	n iə w 1
niệu	n iə w 6
nin	n i n 1
nín	n i n 5
ninh	n i ɲ 1
nính	n i ɲ 5
nình	n i ɲ 2
nịnh	n i ɲ 6
níp	n i p 5
nít	n i t 5
nịt	n i t 6
niu	n i w 1
níu	n i w 5
nịu	n i w 6
no	n ɔ 1
nó	n ɔ 5
nò	n ɔ 2
nô	n o 1
nõ	n ɔ 3
nố	n o 5
nồ	n o 2
nỗ	n o 3
nỏ	n ɔ 4
nơ	n ɤ 1
nổ	n o 4
nọ	n ɔ 6
nớ	n ɤ 5
nờ	n ɤ 2
nỡ	n ɤ 3
nộ	n o 6
nở	n ɤ 4
nợ	n ɤ 6
noa	nw ʷa 1
noãn	nw ʷa n 3
nóc	n ɔ k͡p 5
nốc	n o k͡p 5
nọc	n ɔ k͡p 6
nộc	n o k͡p 6
noi	n ɔ j 1
nói	n ɔ j 5
nòi	n ɔ j 2
nôi	n o j 1
nối	n o j 5
nồi	n o j 2
nỗi	n o j 3
nỏi	n ɔ j 4
nơi	n ɤ j 1
nổi	n o j 4
nới	n ɤ j 5
nội	n o j 6
nom	n ɔ m 1
nòm	n ɔ m 2
nôm	n o m 1
nồm	n o m 2
nơm	n ɤ m 1
nờm	n ɤ m 2
nỡm	n ɤ m 3
nộm	n o m 6
non	n ɔ n 1
nón	n ɔ n 5
nôn	n o n 1
nõn	n ɔ n 3
nọn	n ɔ n 6
nộn	n o n 6
nong	n ɔ ŋ͡m 1
nóng	n ɔ ŋ͡m 5
nòng	n ɔ ŋ͡m 2
nông	n o ŋ͡m 1
nống	n o ŋ͡m 5
nồng	n o ŋ͡m 2
nỗng	n o ŋ͡m 3
nọng	n ɔ ŋ͡m 6
nóp	n ɔ p 5
nớp	n ɤ p 5
nộp	n o p 6
nợp	n ɤ p 6
nót	n ɔ t 5
nốt	n o t 5
nọt	n ɔ t 6
nớt	n ɤ t 5
nột	n o t 6
nu	n u 1
nư	n ɯ 1
nụ	n u 6
nữ	n ɯ 3
nự	n ɯ 6
nua	n uə 1
nủa	n uə 4
nưa	n ɯə 1
nứa	n ɯə 5
nữa	n ɯə 3
nửa	n ɯə 4
núc	n u k͡p 5
nục	n u k͡p 6
nức	n ɯ k 5
nực	n ɯ k 6
núi	n u j 5
nùi	n u j 2
núm	n u m 5
nùn	n u n 2
nung	n u ŋ͡m 1
núng	n u ŋ͡m 5
nùng	n u ŋ͡m 2
nũng	n u ŋ͡m 3
